id;ActorName;movies_95_04;main_genre;genres
n12210;"Cinderella, Lil&apos;";37;Adult;Adult:17,Comedy:1,Drama:1,NULL:18
n10831;Bernal, Claudia;16;Action;Action:13,NULL:1,Short:1,Thriller:1
n872;Gale, Lorena;38;Drama;Action:2,Adventure:1,Comedy:2,Crime:2,Drama:11,Family:1,Fantasy:2,Mystery:2,NULL:2,Romance:3,Sci-Fi:2,Thriller:8
n9932;Topera, Janfri;20;Comedy;Comedy:10,Drama:2,NULL:2,Romance:1,Short:3,Thriller:2
n12334;Titof;41;Adult;Adult:29,Drama:1,NULL:6,Short:3,Thriller:2
n14450;Cannavale, Enzo;13;Comedy;Comedy:6,Drama:1,NULL:5,Thriller:1
n7352;White, Ron (I);19;Drama;Action:1,Adult:2,Drama:11,Horror:1,NULL:1,Sci-Fi:1,Thriller:2
n4292;Ward, Jim (I);42;Sci-Fi;Action:4,Adventure:2,Animation:7,Comedy:1,Drama:3,Family:2,Fantasy:3,Horror:2,Mystery:1,NULL:4,Sci-Fi:11,Thriller:1,War:1
n13357;"O&apos;Brien, Patrick Thomas";12;Comedy;Comedy:4,Crime:2,Drama:2,Family:1,Fantasy:1,Romance:1,Short:1
n509;McAvoy, James;19;Drama;Comedy:2,Crime:1,Drama:8,Fantasy:1,Mystery:1,NULL:1,Romance:2,Sci-Fi:1,Thriller:2
n4871;Little, Natasha;16;Drama;Comedy:4,Drama:6,Music:1,NULL:2,Romance:1,Short:1,Thriller:1
n4265;Robb, David (I);11;Drama;Action:1,Adventure:2,Drama:4,Mystery:1,NULL:1,Thriller:1,War:1
n7171;Rose, Sherrie;11;Fantasy;Action:1,Comedy:1,Drama:3,Fantasy:3,Horror:1,NULL:1,Thriller:1
n2841;Cawood, Sarah;10;Music;Documentary:7,Music:3
n11761;Burlamaqui, Paula;13;Romance;Comedy:1,Crime:1,Drama:1,NULL:8,Romance:2
n6569;Rois, Sophie;24;Crime;Comedy:4,Crime:4,Drama:4,Family:1,NULL:2,Romance:3,Short:1,Thriller:4,War:1
n11883;Riedel, Neithardt;15;Crime;Comedy:1,Crime:6,Drama:3,Family:1,NULL:1,Romance:2,Thriller:1
n14205;Lacerda, Thiago;11;Drama;Drama:3,Horror:1,NULL:4,Romance:2,War:1
n6924;Kirby, Luke;10;Thriller;Comedy:2,Crime:1,Documentary:1,Drama:1,Romance:1,Short:2,Thriller:2
n3550;Moseley, Bill (I);10;Horror;Comedy:1,Drama:1,Horror:4,NULL:1,Sci-Fi:2,War:1
n14269;Lesure, James;11;Comedy;Comedy:2,Crime:1,Documentary:1,Drama:1,Mystery:1,NULL:1,Romance:1,Short:1,Thriller:1,Western:1
n1393;Blum, Steven (I);121;Sci-Fi;Action:20,Adventure:3,Animation:15,Comedy:8,Drama:5,Fantasy:14,Horror:4,Mystery:1,NULL:5,Romance:9,Sci-Fi:31,Short:3,Thriller:2,Western:1
n16364;Hilton-Jacobs, Lawrence;10;Drama;Comedy:2,Documentary:2,Drama:2,NULL:4
n14962;Shah, Satish;28;Romance;Comedy:3,Crime:1,Drama:3,Family:2,Musical:1,NULL:5,Romance:13
n4746;Woinsky, Marcos;17;Drama;Drama:10,Fantasy:1,Musical:1,Romance:3,Thriller:2
n8833;Rich, Allan;15;Drama;Comedy:2,Drama:4,NULL:4,Romance:2,Short:1,Thriller:2
n1927;Katin;57;Adult;Adult:33,Comedy:1,NULL:23
n6685;Williams, Brandon (I);16;Drama;Adult:1,Comedy:2,Crime:2,Drama:4,Fantasy:1,Music:1,Mystery:1,NULL:1,Romance:2,Thriller:1
n7267;Williams, Johnny (I);17;Drama;Action:1,Comedy:2,Crime:2,Drama:6,NULL:1,Romance:1,Short:1,Thriller:3
n1063;Attenborough, Richard;26;Fantasy;Animation:1,Comedy:2,Documentary:12,Family:2,Fantasy:2,Musical:1,NULL:1,Short:3,Thriller:2
n773;Midkiff, Dale;24;Drama;Action:1,Adventure:1,Drama:8,Family:1,Fantasy:1,Mystery:2,NULL:1,Romance:1,Sci-Fi:1,Thriller:6,Western:1
n12949;Köklükaya, Basak;11;Drama;Comedy:2,Drama:5,NULL:2,Romance:1,Thriller:1
n5726;Deblinger, David;12;Drama;Comedy:3,Crime:1,Drama:3,Romance:1,Short:2,Thriller:2
n8066;Bigagli, Claudio;14;Drama;Comedy:3,Documentary:1,Drama:5,NULL:2,Romance:2,Short:1
n12866;Tritt, Travis;12;Music;Comedy:2,Family:1,Horror:1,Music:4,Musical:1,NULL:2,Short:1
n11416;Gleason, Paul (I);16;Drama;Comedy:4,Documentary:1,Drama:4,Horror:1,NULL:2,Sci-Fi:1,Thriller:3
n498;Zimmerman, Joey (I);11;Fantasy;Adventure:1,Drama:2,Family:1,Fantasy:2,Horror:1,NULL:1,Sci-Fi:1,Short:1,Thriller:1
n7926;Mahmud-Bey, Shiek;14;Drama;Comedy:1,Crime:1,Drama:3,Fantasy:1,Horror:1,Mystery:2,Short:4,Thriller:1
n17221;Hart-Rogers, Stephanie;11;Adult;Adult:4,NULL:6,Short:1
