,name,degree_weighted_g0,degree_g0,ActorName,movies_95_04,main_genre,Short,Action,Crime,Mystery,Documentary,Horror,Sci-Fi,Comedy,Animation,Family,Fantasy,Thriller,Western,Adult,Romance,Adventure,War,Drama,Musical,Music,max_triangles,betweenness,closeness,pagerank,eigenvector
6523,n16435,6.0,3,"DeLonge, Thomas",15,Music,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0.8611111111111112,17.254480562620223,0.1110835322195704,1.1744694175414547e-05,1.5677062506317136e-06
6524,n4784,93.0,40,"Dossetti, Mónica",11,Romance,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,0,1,1,0,0.3466666666666666,757.6676662803433,0.08279100654586852,6.260893474121975e-05,7.517130841198967e-13
6525,n16611,9.0,4,"Turco, Paige",14,Drama,0,0,0,0,0,1,0,3,0,0,0,3,0,0,1,0,0,3,0,0,0.7777777777777778,0.8958333333333333,0.0777083732174579,1.6232450084072015e-05,4.382904409096461e-12
6526,n13203,253.0,74,"Watkins, Fabian",11,Drama,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,1,5,0,0,0.6666666666666666,42071.08296681866,0.08784096628082537,0.00013658597138625197,1.995190671314203e-10
6527,n2538,64.0,31,"Jakubetz, Clemens",12,Drama,2,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,3,0,0,0.16666666666666666,4520.760369150023,0.09804901889187868,6.7971128793598e-05,9.993145555736474e-12
6528,n8494,22.0,10,"Leyrado, Juan",15,Romance,1,0,0,1,1,0,0,1,0,0,1,0,0,0,6,0,0,3,0,0,0.2934472934472935,41352.60217599022,0.10596677837680314,4.4885425375582903e-05,4.646709061647034e-09
6529,n8161,735.0,116,"Duval, Consuelo",14,Comedy,0,0,0,0,0,0,0,5,0,1,0,0,0,0,3,0,0,1,1,0,0.2881773399014778,20221.283425172616,0.10963636706260718,0.0002165341285799296,2.406780026347918e-07
6530,n6838,30.0,14,"Lantieri, Michael",10,Family,6,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7424242424242423,1589.8957153058493,0.10471939234673674,2.7126758134089352e-05,2.3211848036803238e-08
6531,n10465,104.0,44,"Hunter, J. Michael",10,Drama,0,0,1,1,0,0,0,1,0,0,0,2,0,0,1,0,0,3,0,0,0.5604395604395604,17467.50877471698,0.09799617088412152,7.011781177369702e-05,8.329421452544342e-10
6532,n15138,17.0,8,"Favela, Marlene",14,Musical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0.32310946589106293,2598.9125240594235,0.09566928486469599,3.120316475874663e-05,6.633007419969117e-12
6533,n12359,429.0,100,"Grau, Rojo",16,Action,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0.2857142857142857,43535.42933506849,0.10260118155365489,0.00010912764984437914,9.725343294812254e-07
